	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
	(7.31e-05)	(6.84e-05)	(0.000154)	(0.000143)	(0.000104)	(9.78e-05)	(0.000152)	(0.000141)	(5.75e-05)	(5.37e-05)	(0.000130)	(0.000117)	(5.48e-05)	(5.34e-05)
bbb10spr	6.50e-05***	7.56e-05***	8.32e-05**	6.27e-05*	7.21e-05***	8.02e-05***	-3.03e-05	-2.59e-05	5.81e-05***	4.64e-05***	-5.89e-06	1.74e-05	5.72e-05***	6.26e-05***
	(2.23e-05)	(1.95e-05)	(3.94e-05)	(3.80e-05)	(2.68e-05)	(2.48e-05)	(3.66e-05)	(3.40e-05)	(1.60e-05)	(1.42e-05)	(3.34e-05)	(2.84e-05)	(1.42e-05)	(1.35e-05)
Constant		-0.00463		-0.0148**		0.0125*		-0.00457		-0.00230		0.00298		-0.00106
		(0.00327)		(0.00675)		(0.00642)		(0.0121)		(0.00273)		(0.00419)		(0.00243)
														
Observations	44,628	46,285	33,824	35,451	57,899	59,824	20,510	21,604	166,555	172,946	42,465	43,643	209,020	216,589
Number of rssd9001	1,539	1,556	1,450	1,488	1,010	1,024	531	555	2,678	2,691	1,254	1,265	2,728	2,738
Standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
